小韻號,對應廣韻小韻號
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,35
34,36
35,37
36,38
37,65
38,66
39,67
40,39
41,40
42,41
43,42
44,45
45,46
46,47
47,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
55,56
56,57
57,58
58,59
59,60
60,61
61,62
62,63
63,64
64,69
65,70
66,71
67,72
68,73
69,74
70,75
71,76
72,77
73,78
74,79
75,81
76,82
77,83
78,84
79,87
80,88
81,89
82,90
83,91
84,92
85,93
86,94
87,95
88,96
89,97
90,98
91,99
92,100
93,101
94,102
95,103
96,104
97,105
98,106
99,107
100,108
101,109
102,110
103,111
104,112
105,113
106,114
107,115
108,116
109,117
110,118
111,119
112,120
113,121
114,122
115,123
116,124
117,125
118,126
119,127
120,128
121,129
122,139
123,130
124,131
125,132
126,133
127,134
128,135
129,136
130,137
131,144
132,145
133,146
134,147
135,148
136,149
137,150
138,151
139,152
140,153
141,154
142,155
143,156
144,157
145,158
146,159
147,160
148,161
149,162
150,163
151,164
152,165
153,166
154,167
155,168
156,169
157,170
158,171
159,172
160,173
161,174
162,175
163,176
164,177
165,178
166,179
167,180
168,181
169,182
170,183
171,184
172,186
173,187
174,188
175,189
176,190
177,191
178,192
179,193
180,194
181,195
182,196
183,197
184,198
185,199
186,200
187,201
188,202
189,203
190,204
191,205
192,206
193,207
194,208
195,211
196,212
197,213
198,214
199,215
200,216
201,217
202,218
203,219
204,220
205,221
206,222
207,223
208,225
209,224
210,226
211,227
212,228
213,229
214,230
215,231
216,232
217,233
218,234
219,235
220,236
221,237
222,238
223,239
224,240
225,241
226,242
227,243
228,244
229,245
230,246
231,247
232,248
233,249
234,250
235,251
236,252
237,253
238,254
239,255
240,256
241,257
242,258
243,259
244,260
245,261
246,262
247,263
248,264
249,265
250,266
251,267
252,269
253,270
254,271
255,272
256,273
257,274
258,275
259,276
260,277
261,278
262,279
263,280
264,281
265,282
266,283
267,284
268,285
269,286
270,287
271,288
272,289
273,290
274,291
275,292
276,293
277,294
278,295
279,296
280,297
281,298
282,299
283,300
284,301
285,302
286,304
287,303
288,305
289,306
290,307
291,308
292,309
293,310
294,319
295,311
296,312
297,313
298,314
299,315
300,316
301,317
302,318
303,320
304,323
305,324
306,325
307,326
308,327
309,328
310,329
311,330
312,331
313,332
314,333
315,334
316,335
317,336
318,337
319,338
320,335
321,340
322,342
323,343
324,344
325,345
326,346
327,347
328,348
329,349
330,351
331,352
332,353
333,354
334,356
335,357
336,364
337,365
338,366
339,367
340,368
341,369
342,370
343,371
344,372
345,373
346,375
347,374
348,376
349,377
350,378
351,379
352,380
353,381
354,383
355,384
356,385
357,386
358,387
359,388
360,389
361,390
362,391
363,393
364,394
365,395
366,396
367,397
368,401
369,445
370,440
371,447
372,441
373,442
374,438
375,439
376,403
377,414
378,404
379,405
380,406
381,410
382,407
383,402
384,412
385,413
386,415
387,416
388,417
389,418
390,408
391,409
392,419
393,423
394,420
395,424
396,433
397,411
398,437
399,444
400,443
401,448
402,422
403,421
404,449
405,446
406,435
407,436
408,434
409,430
410,431
411,427
412,432
413,428
414,429
415,426
416,425
417,452
418,453
419,454
420,455
421,456
422,457
423,458
424,459
425,460
426,461
427,462
428,463
429,465
430,466
431,467
432,464
433,468
434,469
435,470
436,472
437,473
438,471
439,474
440,475
441,476
442,477
443,478
444,479
445,480
446,481
447,483
448,484
449,485
450,486
451,487
452,488
453,489
454,490
455,491
456,492
457,493
458,494
459,495
460,496
461,497
462,498
463,499
464,502
465,503
466,504
467,505
468,506
469,507
470,522
471,525
472,531
473,523
474,529
475,533
476,532
477,526
478,527
479,524
480,534
481,530
482,528
483,509
484,510
485,517
486,515
487,535
488,519
489,536
490,512
491,518
492,516
493,513
494,537
495,511
496,514
497,520
498,538
499,539
500,540
501,541
502,543
503,544
504,545
505,547
506,546
507,548
508,549
509,550
510,554
511,555
512,556
513,557
514,558
515,559
516,560
517,561
518,30529
519,562
520,563
521,564
522,565
523,575
524,576
525,577
526,578
527,579
528,580
529,581
530,582
531,583
532,584
533,585
534,586
535,587
536,588
537,589
538,590
539,591
540,592
541,593
542,594
543,595
544,598
545,599
546,600
547,601
548,602
549,603
550,604
551,605
552,606
553,607
554,608
555,609
556,610
557,611
558,612
559,613
560,614
561,615
562,616
