反切字,音韻地位
㒵,明二肴去
㢡,精開三陽上
㦸,見開三B庚入
㳙,見合四先平
䒦,滂三C凡平
䕃,影開三B侵去
䘏,心合三真入
䜟,初開三侵去
䫄,徹合二刪入
一,影開三A真入
丁,端開四青平
七,清開三真入
万,明三C元去
丈,澄開三陽上
三,心開一談平
下,匣開二麻上
与,以開三魚上
丑,徹三尤上
丕,滂三B脂平
世,書開三祭去
丘,溪三C尤平
丙,幫三B庚上
丞,常開三蒸平
中,知三東平
丸,匣合一寒平
主,章合三虞上
乃,泥開一咍上
久,見三C尤上
之,章開三之平
乏,並三C凡入
乖,見合二皆平
乘,船開三蒸平
乙,影開三B真入
九,見三C尤上
乞,溪開三C殷入
亂,來合一寒去
了,來開四蕭上
二,日開三脂去
于,云合三C虞平
云,云合三C文平
五,疑一模上
亘,見開一登去
亞,影開二麻去
亡,明三C陽平
交,見開二肴平
亥,匣開一咍上
亦,以開三清入
京,見開三B庚平
亮,來開三陽去
人,日開三真平
今,見開三B侵平
仍,日開三蒸平
仕,崇開三之上
他,透開一歌平
仙,心開三仙平
代,定開一咍去
以,以開三之上
仲,澄三東去
任,日開三侵去
仾,端開四齊平
企,溪開三A支去
伊,影開三A脂平
伏,並三C東入
伐,並三C元入
休,曉開三B幽平
伯,幫二庚入
似,邪開三之上
但,定開一寒上
佇,澄開三魚上
位,云合三B脂去
佐,精開一歌去
何,匣開一歌平
余,以開三魚平
作,精開一唐入
佩,並一灰去
佳,見開二佳平
佷,匣開一痕上
來,來開一咍平
例,來開三祭去
依,影開三C微平
侯,匣一侯平
便,並三A仙平
俄,疑開一歌平
俙,曉開三C微上
俞,以合三虞平
俟,俟開三之上
俱,見合三C虞平
俾,幫三A支上
倉,清開一唐平
倚,影開三B支上
借,精開三清入
倦,羣合三B仙去
倫,來合三真平
偃,影開三C元上
偉,云合三C微上
側,莊開三蒸入
偽,疑合三B支去
傍,並一唐平
備,並三B脂去
傷,書開三陽平
傾,溪合三A清平
僦,精三尤去
儉,羣開三B鹽上
儒,日合三虞平
儦,幫三B宵平
儼,疑開三B鹽上
元,疑合三C元平
充,昌三東平
兆,澄開三宵上
先,心開四先平
光,見合一唐平
兊,定合一泰去
免,明三B仙上
兒,日開三支平
兖,以合三仙上
入,日開三侵入
全,從合三仙平
兩,來開三陽上
八,幫二山入
公,見一東平
六,來三東入
兮,匣開四齊平
共,羣三C鍾去
兵,幫三B庚平
其,羣開三C之平
具,羣合三C虞去
典,端開四先上
兹,精開三之平
兼,見開四添平
冀,見開三B脂去
内,泥合一灰去
冉,日開三鹽上
冝,疑開三B支平
冬,端一冬平
冰,幫三B蒸平
冷,來開二庚上
准,章合三真上
凍,端一東去
几,見開三B脂上
凡,並三C凡平
凶,曉三C鍾平
函,匣開二咸平
刀,端開一豪平
刃,日開三真去
分,幫三C文平
刑,匣開四青平
列,來開三仙入
初,初開三魚平
別,並三B仙入
利,來開三脂去
刮,見合二刪入
到,端開一豪去
制,章開三祭去
則,精開一登入
前,從開四先平
副,滂三C尤去
割,見開一寒入
劇,羣開三B庚入
劌,見合三B祭去
劔,見開三C嚴去
力,來開三蒸入
加,見開二麻平
劣,來合三仙入
助,崇開三魚去
劫,見開三C嚴入
効,匣開二肴去
勃,並一魂入
勑,徹開三蒸入
勒,來開一登入
動,定一東上
勞,來開一豪平
勸,溪合三C元去
勿,明三C文入
化,曉合二麻去
北,幫一登入
匠,從開三陽去
匡,溪合三C陽平
匪,幫三C微上
匹,滂三A真入
區,溪合三C虞平
千,清開四先平
升,書開三蒸平
半,幫一寒去
卑,幫三A支平
卓,知二江入
協,匣開四添入
南,泥開一覃平
博,幫一唐入
卜,幫一東入
卦,見合二佳去
卧,疑合一歌去
危,疑合三B支平
即,精開三蒸入
却,溪開三C陽入
卷,見合三B仙去
卿,溪開三B庚平
厄,影開二耕入
厚,匣一侯上
厥,見合三C元入
厲,來開三祭去
去,溪開三C魚去
又,云三C尤去
及,羣開三B侵入
取,清合三虞上
叙,邪開三魚上
口,溪一侯上
古,見一模上
句,見合三C虞去
召,澄開三宵去
可,溪開一歌上
叱,昌開三真入
史,生開三之上
司,心開三之平
各,見開一唐入
合,匣開一覃入
吉,見開三A真入
同,定一東平
后,匣一侯上
吏,來開三之去
吐,透一模上
向,曉開三C陽去
吕,來開三魚上
