小韻號,藤田條目號,韻目原貌,音韻地位,代表字,反切上字,反切下字,反切上字-又,反切下字-又,直音,反切上字地位,反切下字地位,反切上字地位-又,反切下字地位-又,對應廣韻小韻號,兩家差異注釋,代表字釋義,代表字釋義-又（又 = 李永富資料之與前一列不同者）
1,1,東,端一東平,東,德,紅,,,,端開一登入,匣一東平,,,1,,德紅反.二.,
2,5,東,定一東平,同,徒,紅,,,,定一模平,匣一東平,,,2,,徒紅反.十六.,
3,29,東,知三東平,中,陟,隆,,,,知開三蒸入,來三東平,,,3,,陟隆反.又陟仲反.三.,
4,33,東,澄三東平,蟲,直,隆,,,,澄開三蒸入,來三東平,,,4,,直隆反.三.,
5,40,東,章三東平,終,職,隆,,,,章開三蒸入,來三東平,,,5,,職隆反.十.,
6,53,東,徹三東平,忡,勑,中,,,,徹開三蒸入,知三東平,,,6,,憂.勑中反.一.,
7,55,東,崇三東平,崇,鋤,隆,,,,崇開三魚平,來三東平,,,7,,鋤隆反.二.,
8,57,東,心三東平,嵩,息,隆,,,,心開三蒸入,來三東平,,,8,,息隆反.三.,
9,61,東,日三東平,戎,如,隆,而,,,日開三魚平,來三東平,日開三之平,,9,,如隆反.四.,而隆反.四.
10,65,東,見三C東平,弓,居,隆,,,,見開三C魚平,來三東平,,,10,,居隆反.四.,
11,70,東,以三東平,融,餘,隆,,,,以開三魚平,來三東平,,,11,,餘隆反.二.,
12,72,東,云三C東平,雄,羽,隆,,,,云合三C虞上,來三東平,,,12,,羽隆反.二.,
13,74,東,明三C東平,瞢,莫,中,,,,明一唐入,知三東平,,,13,,目不眀.莫中反.三.,目不明.莫中反.三.
14,79,東,溪三C東平,穹,去,隆,,,,溪開三C魚去,來三東平,,,14,,去隆反.二.,
15,83,東,羣三C東平,窮,渠,隆,,,,羣開三C魚平,來三東平,,,15,,渠隆反.三.,
16,86,東,並三C東平,馮,扶,隆,,,,並三C虞平,來三東平,,,16,,扶隆反.三.,
17,91,東,幫三C東平,風,方,隆,,,,幫三C陽平,來三東平,,,17,,方隆反.二.,
18,94,東,滂三C東平,豊,敷,隆,,,,滂三C虞平,來三東平,,,18,,敷隆反.六.,
19,100,東,昌三東平,充,處,隆,,,,昌開三魚上,來三東平,,,19,,處隆反.三.,
20,105,東,來三東平,隆,力,中,,,,來開三蒸入,知三東平,,,20,,力中反.三.,
21,109,東,溪一東平,空,苦,紅,,,,溪一模上,匣一東平,,,21,,苦紅反.七.,
22,118,東,見一東平,公,古,紅,,,,見一模上,匣一東平,,,22,,古紅反.七.,
23,127,東,明一東平,蒙,莫,紅,,,,明一唐入,匣一東平,,,23,,莫紅反.十一.,王女草.莫紅反.十一.
24,145,東,來一東平,籠,盧,紅,,,,來一模平,匣一東平,,,24,,盧紅反.十五.,盧紅反.十四.
25,168,東,匣一東平,洪,胡,籠,,,,匣一模平,來一東平,,,25,,胡籠反.十一.,
