頁,行,音韻地位描述,聲調,韻目,序数,小韻,音類,字頭,釋義
1,1,端一東平,平,東,1,1,端1,東,徳紅反.二.
1,3,端一東平,平,東,3,1,端1,涷,水名.
1,5,定一東平,平,東,5,2,定1,同,徒紅反.十六.
1,6,定一東平,平,東,6,2,定1,童,古作僕今為童子.
1,7,定一東平,平,東,7,2,定1,僮,古作童子今為僕.
1,8,定一東平,平,東,8,2,定1,銅,.
1,9,定一東平,平,東,9,2,定1,桐,木名.又人姓.
1,10,定一東平,平,東,10,2,定1,峒,崆峒.
1,11,定一東平,平,東,11,2,定1,𧱁,獸名似豕出泰山.
1,12,定一東平,平,東,12,2,定1,硐,磨.
1,13,定一東平,平,東,13,2,定1,𦨴,船.
1,14,定一東平,平,東,14,2,定1,烔,烔烔熱皃.
1,15,定一東平,平,東,15,2,定1,曈,曈曨日欲明.
1,16,定一東平,平,東,16,2,定1,筒,竹名.
1,17,定一東平,平,東,17,2,定1,瞳,目子.
1,19,定一東平,平,東,19,2,定1,𤭁,瓦.
1,20,定一東平,平,東,20,2,定1,罿,車上網.又尺容反.
1,21,定一東平,平,東,21,2,定1,犝,牛無角.
1,29,知三東平,平,東,29,3,知3,中,陟隆反.又陟仲反.三.
1,30,知三東平,平,東,30,3,知3,衷,.
1,31,知三東平,平,東,31,3,知3,忠,.
1,33,澄三東平,平,東,33,4,澄3,蟲,直隆反.三.
1,34,澄三東平,平,東,34,4,澄3,沖,和.
1,35,澄三東平,平,東,35,4,澄3,种,稚.亦人姓.
1,40,章三東平,平,東,40,5,章3,終,職隆反.十.
1,41,章三東平,平,東,41,5,章3,衆,又之仲反.
1,42,章三東平,平,東,42,5,章3,泈,水名在襄陽.
1,43,章三東平,平,東,43,5,章3,潨,小水入大水.又在冬反.
1,44,章三東平,平,東,44,5,章3,𣧩,殁.
1,45,章三東平,平,東,45,5,章3,螽,.
1,46,章三東平,平,東,46,5,章3,𩅧,小雨.
1,47,章三東平,平,東,47,5,章3,鼨,豹文鼠.
1,48,章三東平,平,東,48,5,章3,蔠,蔠葵蘩露.
1,49,章三東平,平,東,49,5,章3,柊,木名.
1,53,徹三東平,平,東,53,6,徹3,忡,憂.勑中反.一.
1,55,崇三東平,平,東,55,7,崇3,崇,鋤隆反.二.
1,56,崇三東平,平,東,56,7,崇3,㓽,鍤屬.
1,57,心三東平,平,東,57,8,心3,嵩,息隆反.三.
2,1,心三東平,平,東,59,8,心3,娀,有娀契母.
2,2,心三東平,平,東,60,8,心3,菘,菜名.
2,3,日三東平,平,東,61,9,日3,戎,而隆反.四.
2,4,日三東平,平,東,62,9,日3,茙,蜀葵.
2,5,日三東平,平,東,63,9,日3,㭜,木名.
2,6,日三東平,平,東,64,9,日3,駥,八尺馬.
2,7,見三C東平,平,東,65,10,見3,弓,居隆反.四.
2,9,見三C東平,平,東,67,10,見3,躬,.
2,10,見三C東平,平,東,68,10,見3,宫,.
2,11,見三C東平,平,東,69,10,見3,㴦,縣名在酒泉.
2,12,以三東平,平,東,70,11,羊3,融,餘隆反.二.
2,13,以三東平,平,東,71,11,羊3,肜,祭名.又勑林反.
2,14,云三C東平,平,東,72,12,云3,雄,羽隆反.二.
2,15,云三C東平,平,東,73,12,云3,熊,獸.
2,16,明三C東平,平,東,74,13,明3,瞢,目不明.莫中反.三.
2,17,明三C東平,平,東,75,13,明3,夢,又武仲反.
2,18,明三C東平,平,東,76,13,明3,𨞯,邑名在曹.
2,21,溪三C東平,平,東,79,14,溪3,穹,去隆反.二.
2,22,溪三C東平,平,東,80,14,溪3,芎,芎藭.
2,25,羣三C東平,平,東,83,15,群3,窮,渠隆反.三.
2,26,羣三C東平,平,東,84,15,群3,藭,芎藭.
2,27,羣三C東平,平,東,85,15,群3,𥨪,羿所封邑.
2,28,並三C東平,平,東,86,16,奉3,馮,扶隆反.三.
2,29,並三C東平,平,東,87,16,奉3,汎,浮.又孚劔反.
2,30,並三C東平,平,東,88,16,奉3,芃,草皃.
2,33,幫三C東平,平,東,91,17,非3,風,方隆反.二.
2,34,幫三C東平,平,東,92,17,非3,楓,木名.
2,36,滂三C東平,平,東,94,18,敷3,豐,敷隆反.六.
2,37,滂三C東平,平,東,95,18,敷3,酆,邑名.
2,38,滂三C東平,平,東,96,18,敷3,蘴,蕪菁.
2,39,滂三C東平,平,東,97,18,敷3,灃,水名在咸陽.
2,40,滂三C東平,平,東,98,18,敷3,寷,大屋.
2,41,滂三C東平,平,東,99,18,敷3,麷,煮麥.
2,42,昌三東平,平,東,100,19,昌3,充,處隆反.三.
2,43,昌三東平,平,東,101,19,昌3,珫,珫耳.
2,44,昌三東平,平,東,102,19,昌3,茺,茺蔚草.
2,47,來三東平,平,東,105,20,來3,隆,力中反.三.
2,48,來三東平,平,東,106,20,來3,癃,病.
2,49,來三東平,平,東,107,20,來3,𪔴,鼓聲.
2,51,溪一東平,平,東,109,21,溪1,空,苦紅反.七.
2,52,溪一東平,平,東,110,21,溪1,箜,箜篌.
2,53,溪一東平,平,東,111,21,溪1,崆,崆峒山名.
2,54,溪一東平,平,東,112,21,溪1,硿,青色.
2,55,溪一東平,平,東,113,21,溪1,䅝,稻稈.
2,57,溪一東平,平,東,115,21,溪1,涳,涳濛.
2,58,溪一東平,平,東,116,21,溪1,埪,土埪.
3,2,見一東平,平,東,118,22,見1,公,古紅反.七.
3,3,見一東平,平,東,119,22,見1,功,.
3,4,見一東平,平,東,120,22,見1,工,.
3,5,見一東平,平,東,121,22,見1,疘,下病.
3,6,見一東平,平,東,122,22,見1,蚣,蜈蚣蟲.
3,7,見一東平,平,東,123,22,見1,玒,玉.
3,8,見一東平,平,東,124,22,見1,釭,車釭.又古雙反.
3,11,明一東平,平,東,127,23,明1,蒙,王女草.莫紅反.十一.
3,12,明一東平,平,東,128,23,明1,濛,小雨.
3,13,明一東平,平,東,129,23,明1,䑃,大皃.
3,15,明一東平,平,東,131,23,明1,矇,矇瞽.
3,16,明一東平,平,東,132,23,明1,艨,艨艟戰船.又武用反.
3,17,明一東平,平,東,133,23,明1,饛,盛食滿皃.
3,18,明一東平,平,東,134,23,明1,䰒,馬垂鬣.
3,19,明一東平,平,東,135,23,明1,𩦺,驢子.
3,20,明一東平,平,東,136,23,明1,檬,似槐黄葉.
3,21,明一東平,平,東,137,23,明1,䤓,麴生衣皃.
3,22,明一東平,平,東,138,23,明1,冡,覆.
3,29,來一東平,平,東,145,24,來1,籠,盧紅反.十四.
3,30,來一東平,平,東,146,24,來1,豅,大谷.
3,31,來一東平,平,東,147,24,來1,櫳,囚房.
3,32,來一東平,平,東,148,24,來1,曨,日欲明.
3,33,來一東平,平,東,149,24,來1,𡃡,大聲.
3,35,來一東平,平,東,151,24,來1,巃,巃嵸山高皃.
3,37,來一東平,平,東,153,24,來1,瓏,玲瓏.
3,38,來一東平,平,東,154,24,來1,龓,馬龓頭.
3,39,來一東平,平,東,155,24,來1,瀧,瀧涷沾漬.
3,40,來一東平,平,東,156,24,來1,聾,.
3,41,來一東平,平,東,157,24,來1,𨏠,軸頭.
3,42,來一東平,平,東,158,24,來1,礱,斲.
3,43,來一東平,平,東,159,24,來1,嚨,喉嚨.
3,44,來一東平,平,東,160,24,來1,䆍,黍䆍.
3,52,匣一東平,平,東,168,25,匣1,洪,胡籠反.十一.
3,53,匣一東平,平,東,169,25,匣1,訌,諠.
3,54,匣一東平,平,東,170,25,匣1,鉷,弩牙.
3,55,匣一東平,平,東,171,25,匣1,紅,.
3,56,匣一東平,平,東,172,25,匣1,虹,又古巷反.
3,57,匣一東平,平,東,173,25,匣1,鴻,.
3,58,匣一東平,平,東,174,25,匣1,葓,水草.
4,1,匣一東平,平,東,175,25,匣1,葒,草名.
4,2,匣一東平,平,東,176,25,匣1,仜,身肥大.
4,3,匣一東平,平,東,177,25,匣1,䜫,大壑.
4,4,匣一東平,平,東,178,25,匣1,䉺,赤米.
4,10,從一東平,平,東,184,26,從1,藂,古作䕺.徂紅反.一.
4,13,影一東平,平,東,187,27,影1,翁,烏紅反.三.
4,14,影一東平,平,東,188,27,影1,螉,蠮螉蟲.
4,15,影一東平,平,東,189,27,影1,䱵,魚名.
4,18,清一東平,平,東,192,28,清1,忩,古作悤.倉紅反.八.
4,19,清一東平,平,東,193,28,清1,䓗,.
